id,date,price,bedrooms,bathrooms,sqft_living,grade,view,lat,waterfront,condition,floors,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_lot,long,sqft_living15,sqft_lot15
7129300520,20141013T000000,221900,3,1,1180,7,0,47.5112,0,3,1,1180,0,1955,0,98178,5650,-122.257,1340,5650
6414100192,20141209T000000,538000,3,2.25,2570,7,0,47.721,0,3,2,2170,400,1951,1991,98125,7242,-122.319,1690,7639
5631500400,20150225T000000,180000,2,1,770,6,0,47.7379,0,3,1,770,0,1933,0,98028,10000,-122.233,2720,8062
2487200875,20141209T000000,604000,4,3,1960,7,0,47.5208,0,5,1,1050,910,1965,0,98136,5000,-122.393,1360,5000
1954400510,20150218T000000,510000,3,2,1680,8,0,47.6168,0,3,1,1680,0,1987,0,98074,8080,-122.045,1800,7503
7237550310,20140512T000000,1.23E+06,4,4.5,5420,11,0,47.6561,0,3,1,3890,1530,2001,0,98053,101930,-122.005,4760,101930
1321400060,20140627T000000,257500,3,2.25,1715,7,0,47.3097,0,3,2,1715,0,1995,0,98003,6819,-122.327,2238,6819
2008000270,20150115T000000,291850,3,1.5,1060,7,0,47.4095,0,3,1,1060,0,1963,0,98198,9711,-122.315,1650,9711
2414600126,20150415T000000,229500,3,1,1780,7,0,47.5123,0,3,1,1050,730,1960,0,98146,7470,-122.337,1780,8113
3793500160,20150312T000000,323000,3,2.5,1890,7,0,47.3684,0,3,2,1890,0,2003,0,98038,6560,-122.031,2390,7570
1736800520,20150403T000000,662500,3,2.5,3560,8,0,47.6007,0,3,1,1860,1700,1965,0,98007,9796,-122.145,2210,8925
9212900260,20140527T000000,468000,2,1,1160,7,0,47.69,0,4,1,860,300,1942,0,98115,6000,-122.292,1330,6000
114101516,20140528T000000,310000,3,1,1430,7,0,47.7558,0,4,1.5,1430,0,1927,0,98028,19901,-122.229,1780,12697
6054650070,20141007T000000,400000,3,1.75,1370,7,0,47.6127,0,4,1,1370,0,1977,0,98074,9680,-122.045,1370,10208
1175000570,20150312T000000,530000,5,2,1810,7,0,47.67,0,3,1.5,1810,0,1900,0,98107,4850,-122.394,1360,4850
9297300055,20150124T000000,650000,4,3,2950,9,3,47.5714,0,3,2,1980,970,1979,0,98126,5000,-122.375,2140,4000
1875500060,20140731T000000,395000,3,2,1890,7,0,47.7277,0,3,2,1890,0,1994,0,98019,14040,-121.962,1890,14018
6865200140,20140529T000000,485000,4,1,1600,7,0,47.6648,0,4,1.5,1600,0,1916,0,98103,4300,-122.343,1610,4300
16000397,20141205T000000,189000,2,1,1200,7,0,47.3089,0,4,1,1200,0,1921,0,98002,9850,-122.21,1060,5095
7983200060,20150424T000000,230000,3,1,1250,7,0,47.3343,0,4,1,1250,0,1969,0,98003,9774,-122.306,1280,8850
6300500875,20140514T000000,385000,4,1.75,1620,7,0,47.7025,0,4,1,860,760,1947,0,98133,4980,-122.341,1400,4980
2524049179,20140826T000000,2.00E+06,3,2.75,3050,9,4,47.5316,0,3,1,2330,720,1968,0,98040,44867,-122.233,4110,20336
7137970340,20140703T000000,285000,5,2.5,2270,8,0,47.3266,0,3,2,2270,0,1995,0,98092,6300,-122.169,2240,7005
8091400200,20140516T000000,252700,2,1.5,1070,7,0,47.3533,0,3,1,1070,0,1985,0,98030,9643,-122.166,1220,8386
3814700200,20141120T000000,329000,3,2.25,2450,8,0,47.3739,0,4,2,2450,0,1985,0,98030,6500,-122.172,2200,6865
1202000200,20141103T000000,233000,3,2,1710,6,0,47.3048,0,5,1.5,1710,0,1941,0,98002,4697,-122.218,1030,4705
1794500383,20140626T000000,937000,3,1.75,2450,8,0,47.6386,0,3,2,1750,700,1915,0,98119,2691,-122.36,1760,3573
3303700376,20141201T000000,667000,3,1,1400,8,0,47.6221,0,5,1.5,1400,0,1909,0,98112,1581,-122.314,1860,3861
5101402488,20140624T000000,438000,3,1.75,1520,7,0,47.695,0,3,1,790,730,1948,0,98115,6380,-122.304,1520,6235
1873100390,20150302T000000,719000,4,2.5,2570,8,0,47.7073,0,3,2,2570,0,2005,0,98052,7173,-122.11,2630,6026
8562750320,20141110T000000,580500,3,2.5,2320,8,0,47.5391,0,3,2,2320,0,2003,0,98027,3980,-122.07,2580,3980
2426039314,20141201T000000,280000,2,1.5,1190,7,0,47.7274,0,3,3,1190,0,2005,0,98133,1265,-122.357,1390,1756
461000390,20140624T000000,687500,4,1.75,2330,7,0,47.6823,0,4,1.5,1510,820,1929,0,98117,5000,-122.368,1460,5000
7589200193,20141110T000000,535000,3,1,1090,8,0,47.6889,0,4,1.5,1090,0,1929,0,98117,3000,-122.375,1570,5080
7955080270,20141203T000000,322500,4,2.75,2060,7,0,47.4276,0,3,1,1280,780,1981,0,98058,6659,-122.157,2020,8720
9547205180,20140613T000000,696000,3,2.5,2300,8,0,47.6827,0,3,1.5,1510,790,1930,2002,98115,3060,-122.31,1590,3264
9435300030,20140528T000000,550000,4,1,1660,5,0,47.6621,0,1,1,930,730,1933,0,98052,34848,-122.132,2160,11467
2768000400,20141230T000000,640000,4,2,2360,8,0,47.6702,0,4,2,2360,0,1904,0,98107,6000,-122.362,1730,4700
7895500070,20150213T000000,240000,4,1,1220,7,0,47.3341,0,2,1,890,330,1969,0,98001,8075,-122.282,1290,7800
2078500320,20140620T000000,605000,4,2.5,2620,8,0,47.5301,0,3,2,2620,0,1996,0,98056,7553,-122.18,2620,11884
5547700270,20140715T000000,625000,4,2.5,2570,9,0,47.6145,0,3,2,2570,0,2000,0,98074,5520,-122.027,2470,5669
7766200013,20140811T000000,775000,4,2.25,4220,8,0,47.445,0,3,1,2600,1620,1984,0,98166,24186,-122.347,2410,30617
7203220400,20140707T000000,861990,5,2.75,3595,9,0,47.6848,0,3,2,3595,0,2014,0,98053,5639,-122.016,3625,5639
9270200160,20141028T000000,685000,3,1,1570,7,0,47.6413,0,3,2,1570,0,1922,0,98119,2280,-122.364,1580,2640
1432701230,20140729T000000,309000,3,1,1280,6,0,47.4485,0,4,1,920,360,1959,0,98058,9656,-122.175,1340,8808
8035350320,20140718T000000,488000,3,2.5,3160,8,0,47.7443,0,3,2,3160,0,2003,0,98019,13603,-121.977,3050,9232
8945200830,20150325T000000,210490,3,1,990,6,0,47.3066,0,3,1,990,0,1966,0,98023,8528,-122.371,1228,8840
4178300310,20140716T000000,785000,4,2.5,2290,9,0,47.6194,0,4,2,2290,0,1981,0,98007,13416,-122.151,2680,13685
9215400105,20150428T000000,450000,3,1.75,1250,7,0,47.6796,0,4,1,1250,0,1953,0,98115,5963,-122.301,970,5100
822039084,20150311T000000,1.35E+06,3,2.5,2753,9,2,47.4041,1,5,1,2165,588,1953,0,98070,65005,-122.451,2680,72513
5245600105,20140916T000000,228000,3,1,1190,7,0,47.4258,0,3,1,1190,0,1955,0,98148,9199,-122.322,1190,9364
7231300125,20150217T000000,345000,5,2.5,3150,8,0,47.4934,0,4,1,1640,1510,1966,0,98056,9134,-122.189,1990,9133
7518505990,20141231T000000,600000,3,1.75,1410,7,0,47.6808,0,4,1,1000,410,1950,0,98117,4080,-122.384,1410,4080
3626039271,20150205T000000,585000,2,1.75,1980,7,0,47.6989,0,3,1,990,990,1981,0,98117,8550,-122.369,1480,6738
4217401195,20150303T000000,920000,5,2.25,2730,8,0,47.6571,0,3,1.5,2130,600,1927,0,98105,6000,-122.281,2730,6000
9822700295,20140512T000000,885000,4,2.5,2830,9,0,47.6597,0,3,2,2830,0,1995,0,98105,5000,-122.29,1950,5000
9478500640,20140819T000000,292500,4,2.5,2250,7,0,47.3663,0,3,2,2250,0,2008,0,98042,4495,-122.114,2250,4500
2799800710,20150407T000000,301000,3,2.5,2420,8,0,47.3663,0,3,2,2420,0,2003,0,98042,4750,-122.122,2690,4750
7922800400,20140827T000000,951000,5,3.25,3250,8,4,47.588,0,4,2,3250,0,1968,0,98008,14342,-122.116,2960,11044
8079040320,20150223T000000,430000,4,3,1850,8,0,47.5059,0,3,2,1850,0,1991,0,98059,9976,-122.149,2270,8542
1516000055,20141210T000000,650000,3,2.25,2150,8,3,47.4336,0,4,1,1590,560,1959,0,98166,21235,-122.339,2570,18900
9558200045,20140828T000000,289000,3,1.75,1260,7,0,47.4366,0,3,1,1260,0,1954,0,98148,8400,-122.335,1290,8750
5072410070,20141021T000000,505000,3,1.75,2519,8,0,47.4428,0,5,2,2519,0,1973,0,98166,8690,-122.344,2500,9500
9528102996,20141207T000000,549000,3,1.75,1540,8,0,47.6765,0,3,3,1540,0,2014,0,98115,1044,-122.32,1580,3090
1189001180,20140603T000000,425000,3,2.25,1660,7,0,47.6113,0,3,1,1110,550,1979,0,98122,6000,-122.297,1440,4080
3253500160,20141120T000000,317625,3,2.75,2770,7,0,47.5747,0,5,1.5,1770,1000,1925,0,98144,3809,-122.304,1440,4000
3394100030,20140909T000000,975000,4,2.5,2720,10,0,47.5815,0,3,2,2720,0,1989,0,98004,11049,-122.192,2750,11049
3717000160,20141009T000000,287000,4,2.5,2240,7,0,47.3378,0,3,2,2240,0,2005,0,98001,4648,-122.257,2221,4557
1274500060,20140825T000000,204000,3,1,1000,7,0,47.3621,0,4,1,1000,0,1968,0,98042,12070,-122.11,1010,12635
1802000060,20140612T000000,1.33E+06,5,2.25,3200,8,0,47.6303,0,3,1,1600,1600,1965,0,98004,20158,-122.215,3390,20158
1525059190,20140912T000000,1.04E+06,5,3.25,4770,11,0,47.6525,0,4,1,3070,1700,1973,0,98005,50094,-122.16,3530,38917
1049000060,20150105T000000,325000,3,2,1260,7,0,47.7362,0,4,1,1260,0,1972,0,98034,5612,-122.179,1640,4745
8820901275,20140610T000000,571000,4,2,2750,7,0,47.7168,0,5,1.5,2250,500,1916,0,98125,7807,-122.287,1510,7807
5416510140,20140710T000000,360000,4,2.5,2380,8,0,47.3608,0,3,2,2380,0,2005,0,98038,5000,-122.036,2420,5000
3444100400,20150316T000000,349000,3,1.75,1790,7,0,47.3511,0,5,1,1090,700,1965,0,98042,50529,-122.073,1940,50529
3276920270,20141105T000000,832500,4,4,3430,10,0,47.5822,0,4,2,2390,1040,1986,0,98075,35102,-121.987,3240,35020
4036801170,20141013T000000,380000,4,1.75,1760,7,0,47.6034,0,3,1,880,880,1956,0,98008,7300,-122.125,1680,7500
2391600320,20150420T000000,480000,3,1,1040,7,0,47.5636,0,3,1,1040,0,1941,0,98116,5060,-122.394,890,5060
6300000287,20140609T000000,410000,3,1,1410,7,0,47.7073,0,4,1,910,500,1956,0,98133,5060,-122.34,1130,5693
1531000030,20150323T000000,720000,4,2.5,3450,10,0,47.342,0,3,2,3450,0,2002,0,98010,39683,-122.025,3350,39750
5104520400,20141202T000000,390000,3,2.5,2350,8,0,47.3512,0,3,2,2350,0,2003,0,98038,5100,-122.008,2350,5363
7437100340,20141222T000000,360000,4,2.5,1900,7,0,47.349,0,3,2,1900,0,1992,0,98038,5889,-122.031,1870,6405
